mouse_25	0.13	0.7225	0.1675	0.595	0.2975	0.89									
mouse_26	0.9875														
mouse_20	0.9625														
mouse_21	0.035	0.8975	0.8625												
mouse_22	0.275	0.5625	0.6125	0.6125	0.2875	0.3375	0.3375	0.05	0.05	0.005					
mouse_23	0.4875	0.42	0.4625	0.205	0.205	0.0425									
mouse_1	0.0225														
mouse_3	1	0.995	0.875												
mouse_2	0.0025														
mouse_5	0.9525														
mouse_7	0.9925	0.9925	0.9925	0.9925	0	0	0	0	0	0					
mouse_6	0.0225	0.0225	0.0225	0.005	0.005	0.005									
mouse_9	0.96	0.9975	0.3625												
mouse_8	0.0025														
mouse_11	0.925	0.31	0.34	0.9775	0.925	0.925	0.94	0.03	0.9775	0.9775					
mouse_10	0.01	0.01	0												
mouse_13	0.01	0.01	0.0025												
mouse_12	0.27	0.27	0.2525	0.2525	0.255	0	0.125	0.1725	0.2725	0.125	0.1725	0.2725	0.055	0.155	0.1
mouse_15	0.305														
mouse_16	0.78														
mouse_19	0.5975														
