	g__Staphylococcus	g__Enterococcus	g__Lactobacillus	g__Lactobacillus;s__iners	g__Actinomyces	g__Corynebacterium	g__Prevotella	g__Neisseria	g__Acinetobacter	g__Enhydrobacter	g__Akkermansia;s__muciniphila	Other
11441.7o12	1	0	0	0	0	0	0	0	0	0	0	0
11441.29o15	0.965	0	0	0.0025	0	0	0	0	0.0025	0	0	0.03
11441.9o0	0.0025	0	0	0	0	0	0	0.02	0	0	0	0.9775
11441.8o12	0.9975	0	0.0025	0	0	0	0	0	0	0	0	0
11441.25o6	0.8975	0.1025	0	0	0	0	0	0	0	0	0	0
11441.26o15	1	0	0	0	0	0	0	0	0	0	0	0
11441.24o6	1	0	0	0	0	0	0	0	0	0	0	0
11441.23o6	0.07	0.93	0	0	0	0	0	0	0	0	0	0
11441.22o6	0.95	0.05	0	0	0	0	0	0	0	0	0	0
11441.7o6	1	0	0	0	0	0	0	0	0	0	0	0
11441.21o6	0.1375	0.8625	0	0	0	0	0	0	0	0	0	0
11441.36o30	0.01	0.9825	0	0	0	0	0	0	0	0	0	0.0075
11441.21o12	0.9975	0	0.0025	0	0	0	0	0	0	0	0	0
11441.26o30	0.0125	0.3825	0.605	0	0	0	0	0	0	0	0	0
11441.1o9	0.9775	0	0	0	0	0	0	0	0	0	0	0.0225
11441.9o6	0.9875	0	0	0.0025	0	0	0	0	0	0	0	0.01
11441.3o0	0.005	0	0.03	0	0	0.065	0.06	0	0.1225	0.045	0	0.6725
11441.25o0	0.175	0.825	0	0	0	0	0	0	0	0	0	0
11441.30o30	1	0	0	0	0	0	0	0	0	0	0	0
11441.8o6	1	0	0	0	0	0	0	0	0	0	0	0
11441.2o0	0.9975	0	0	0	0	0	0	0	0	0	0	0.0025
11441.27o15	0.995	0	0	0	0	0	0	0	0	0	0.0025	0.0025
11441.3o9	0.875	0.125	0	0	0	0	0	0	0	0	0	0
11441.6o12	1	0	0	0	0	0	0	0	0	0	0	0
11441.15o3	1	0	0	0	0	0	0	0	0	0	0	0
11441.25o9	0.0075	0.9925	0	0	0	0	0	0	0	0	0	0
11441.12o15	0.7275	0.2725	0	0	0	0	0	0	0	0	0	0
11441.12o12	0.8275	0.1725	0	0	0	0	0	0	0	0	0	0
11441.6o15	0.995	0	0	0	0	0.005	0	0	0	0	0	0
11441.7o0	0.0075	0.005	0.015	0	0.075	0.0425	0.09	0.105	0	0.1175	0	0.5425
11441.5o9	0.9125	0	0	0	0.02	0	0	0	0	0	0	0.0675
11441.13o3	1	0	0	0	0	0	0	0	0	0	0	0
11441.21o0	0.1025	0.895	0	0	0.0025	0	0	0	0	0	0	0
11441.20o12	0.99	0	0	0	0	0	0	0	0	0	0	0.01
11441.6o0	0.9775	0	0	0	0	0	0	0	0	0	0	0.0225
11441.12o3	1	0	0	0	0	0	0	0	0	0	0	0
11441.20o0	0.0375	0.9625	0	0	0	0	0	0	0	0	0	0
11441.7o9	1	0	0	0	0	0	0	0	0	0	0	0
11441.5o0	0.0475	0	0	0	0.0825	0	0.0225	0.16	0.0675	0	0	0.62
11441.23o0	0.4825	0.51	0	0	0	0	0	0	0	0.0025	0	0.005
11441.6o9	0.995	0	0	0	0	0	0	0	0	0	0	0.005
11441.22o0	0.3875	0.6	0	0.0025	0	0	0	0	0	0.0025	0	0.0075
11441.1o15	1	0	0	0	0	0	0	0	0	0	0	0
11441.39o15	0.9825	0	0	0	0	0	0	0	0	0	0	0.0175
11441.7o3	1	0	0	0	0	0	0	0	0	0	0	0
11441.19o6	0.9825	0	0	0	0	0	0.0025	0	0	0	0	0.015
11441.11o9	0.69	0.31	0	0	0	0	0	0	0	0	0	0
11441.13o0	0.99	0	0	0	0	0	0	0	0	0	0	0.01
11441.12o0	0.73	0.0175	0	0	0	0	0.01	0.005	0	0	0	0.2375
11441.11o0	0.995	0	0	0	0	0	0	0	0.0025	0	0	0.0025
11441.23o3	0	0.795	0	0	0.015	0.02	0	0	0	0	0	0.17
11441.34o30	0.9775	0	0	0	0	0	0	0	0	0	0	0.0225
11441.23o12	0.0275	0.9725	0	0	0	0	0	0	0	0	0	0
11441.10o0	0.99	0	0	0	0	0	0	0.0075	0	0	0	0.0025
11441.12o9	0.875	0.1175	0	0	0	0	0	0	0.0025	0	0.0025	0.0025
11441.22o3	0.6625	0.3375	0	0	0	0	0	0	0	0	0	0
11441.3o3	0	0.9925	0.0075	0	0	0	0	0	0	0	0	0
11441.25o3	0.3025	0.695	0	0	0	0	0	0	0	0	0	0.0025
11441.11o15	0.0225	0	0.085	0	0	0.0225	0	0.045	0	0	0.205	0.62
11441.11o12	0.66	0.34	0	0	0	0	0	0	0	0	0	0
11441.2o3	1	0	0	0	0	0	0	0	0	0	0	0
11441.16o0	0.22	0.59	0	0	0.015	0	0	0.035	0	0.005	0	0.135
11441.15o0	0.695	0	0	0	0.04	0	0.0075	0	0	0	0	0.2575
11441.33o30	0.9925	0	0	0	0	0	0	0	0	0	0	0.0075
11441.16o9	0.9975	0	0	0	0	0	0	0	0	0	0	0.0025
11441.14o0	0.99	0	0	0	0	0	0	0	0	0	0	0.01
11441.11o6	0.075	0	0.0075	0.3625	0	0.1325	0	0	0	0	0	0.4225
11441.22o12	0.995	0	0	0	0	0	0	0	0	0	0	0.005
11441.22o15	0.9975	0	0.0025	0	0	0	0	0	0	0	0	0
11441.10o6	1	0	0	0	0	0	0	0	0	0	0	0
11441.13o6	0.9975	0	0	0	0	0	0	0	0	0	0	0.0025
11441.19o0	0.4025	0	0.575	0	0	0	0	0.005	0	0	0	0.0175
11441.12o6	1	0	0	0	0	0	0	0	0	0	0	0
11441.9o3	0.6375	0.045	0	0	0	0	0.0275	0.085	0.0125	0.035	0	0.1575
11441.10o15	1	0	0	0	0	0	0	0	0	0	0	0
