#SampleID	Distance
10911.3G22	0.894
10911.3G8	0.638
10911.3P3	0.966
10911.3G15	0.992
10911.3P11	0.006
10911.3P4	0.01
10911.3P7	0.33
10911.3P5	0.08
10911.3G26	0.05
10911.3G9	0.244
10911.3P25	0.984
10911.3P13	0.676
10911.3G10	0.892
10911.3G32	0.988
10911.3P36	0.0
10911.3G21	0.31
10911.3G2	0.912
10911.3G19	0.394
10911.3P9	0.992
10911.3P12	0.0
10911.3P17	0.274
10911.3G20	0.336
10911.3P29	0.002
10911.3P6	0.392
10911.3G31	0.892
10911.3G14	0.276
10911.3G23	0.148
10911.3P20	0.076
10911.3G12	0.14
10911.3G5	0.71
10911.3P14	0.222
10911.3G25	0.606
10911.3P31	0.408
10911.3P21	0.952
10911.3P34	0.058
10911.3G30	0.294
10911.3P19	0.03
10911.3P24	0.004
10911.3G34	0.038
10911.3G1	0.888
10911.3P15	0.002
10911.3G35	0.996
10911.3G18	0.598
10911.3P2	0.936
10911.3G28	0.698
10911.3G6	0.82
10911.3G29	0.536
10911.3P32	0.498
10911.3P18	0.288
10911.3P30	0.316
10911.3P35	0.522
10911.3P1	0.936
10911.7G22	0.762
10911.7G8	0.398
10911.7P11	0.992
10911.7G11	0.08
10911.7P7	0.132
10911.7P5	0.082
10911.7G9	0.344
10911.7G17	0.038
10911.7G10	0.75
10911.7G32	0.988
10911.7P36	0.0
10911.7G21	0.252
10911.7G19	0.276
10911.7P9	0.004
10911.7P12	0.004
10911.7G20	0.656
10911.7P29	0.392
10911.7P20	0.996
10911.7G12	0.03
10911.7G5	0.336
10911.7P8	0.13
10911.7P31	0.004
10911.7P21	0.0
10911.7G33	0.036
10911.7P19	0.03
10911.7P24	0.004
10911.7G34	0.34
10911.7G6	0.828
10911.7P32	0.246
10911.7P18	0.0
10911.7P35	0.526
10911.7G24	0.5
10911.14G8	0.204
10911.14P11	0.778
10911.14G11	0.88
10911.14P7	0.484
10911.14G17	0.996
10911.14G32	0.98
10911.14P36	0.858
10911.14G19	0.442
10911.14P12	0.984
10911.14G20	0.99
10911.14P29	0.91
10911.14P20	0.98
10911.14G12	0.828
10911.14P8	0.658
10911.14P31	0.0
10911.14P21	0.996
10911.14G33	0.016
10911.14G34	0.624
10911.14G6	0.004
10911.14P32	0.25
10911.21P36	0.996
10911.21P12	0.978
10911.21G12	0.032
10911.21P21	0.356
10911.21G33	0.024
10911.21G34	0.052
10911.21G35	0.058
